name,lat,lon,level,parent,source_name
あきる野市,35.728959,139.294046,municipality,,あきる野市役所
あさぎり町,32.240321,130.897827,municipality,,あさぎり町役場
あま市,35.188243,136.803701,municipality,,あま市役所
あわら市,36.211361,136.229012,municipality,,あわら市役所
いすみ市,35.253887,140.385117,municipality,,いすみ市役所
いちき串木野市,31.714542,130.271934,municipality,,いちき串木野市役所
いなべ市,35.158426,136.516697,municipality,,いなべ市役所
いの町,33.548689,133.427583,municipality,,いの町役場
いわき市,37.050456,140.887687,municipality,,いわき市役所
うきは市,33.347305,130.754928,municipality,,うきは市役所
うるま市,26.379151,127.85748,municipality,,うるま市役所
えびの市,32.045347,130.810841,municipality,,えびの市役所
えりも町,42.016298,143.148348,municipality,,えりも町役場
おいらせ町,40.599104,141.397822,municipality,,おいらせ町役場
おおい町,35.481128,135.617885,municipality,,おおい町役場
かすみがうら市,36.151812,140.237006,municipality,,かすみがうら市役所
かつらぎ町,34.296416,135.503802,municipality,,かつらぎ町役場
かほく市,36.719973,136.706668,municipality,,かほく市役所
さいたま市,35.861515,139.645502,municipality,,さいたま市役所
さいたま市中央区,35.883965,139.626177,ward,さいたま市,中央区役所（さいたま市）
さいたま市北区,35.93139,139.620287,ward,さいたま市,北区役所（さいたま市）
さいたま市南区,35.84526,139.645437,ward,さいたま市,南区役所（さいたま市）
さいたま市緑区,35.871095,139.684017,ward,さいたま市,緑区役所（さいたま市）
さいたま市西区,35.925166,139.579633,ward,さいたま市,西区役所（さいたま市）
さくら市,36.685295,139.966474,municipality,,さくら市役所
さつま町,31.906331,130.45534,municipality,,さつま町役場
さぬき市,34.32521,134.171989,municipality,,さぬき市役所
すさみ町,33.550062,135.496678,municipality,,すさみ町役場
せたな町,42.417145,139.882999,municipality,,せたな町役場
たつの市,34.857847,134.545397,municipality,,たつの市役所
つがる市,40.808836,140.380195,municipality,,つがる市役所
つくばみらい市,35.962911,140.037069,municipality,,つくばみらい市役所
つくば市,36.08356,140.076473,municipality,,つくば市役所
つるぎ町,34.037307,134.064051,municipality,,つるぎ町役場
ときがわ町,36.00857,139.296763,municipality,,ときがわ町役場
にかほ市,39.203067,139.907649,municipality,,にかほ市役所
ひたちなか市,36.396615,140.534676,municipality,,ひたちなか市役所
ふじみ野市,35.879396,139.51982,municipality,,ふじみ野市役所
まんのう町,34.192334,133.841393,municipality,,まんのう町役場
みどり市,36.394819,139.281076,municipality,,みどり市役所
みなかみ町,36.67865,138.999055,municipality,,みなかみ町役場
みなべ町,33.772333,135.321434,municipality,,みなべ町役場
みやき町,33.324943,130.45459,municipality,,みやき町役場
みやこ町,33.699236,130.920096,municipality,,みやこ町役場
みやま市,33.152434,130.474734,municipality,,みやま市役所
みよし市,35.089699,137.074728,municipality,,みよし市役所
むかわ町,42.574741,141.926761,municipality,,むかわ町役場
むつ市,41.292835,141.183174,municipality,,むつ市役所
ニセコ町,42.805029,140.687991,municipality,,ニセコ町役場
一宮市,35.304013,136.802344,municipality,,一宮市役所
一宮町,35.372812,140.368734,municipality,,一宮町役場
一戸町,40.212733,141.29546,municipality,,一戸町役場
一関市,38.934754,141.126759,municipality,,一関市役所
七ケ宿町,37.993063,140.441615,municipality,,七ケ宿町役場
七ヶ浜町,38.304554,141.059143,municipality,,七ヶ浜町役場
七宗町,35.54384,137.119946,municipality,,七宗町役場
七尾市,37.043108,136.967296,municipality,,七尾市役所
七戸町,40.744714,141.157991,municipality,,七戸町役場
七飯町,41.895711,140.694405,municipality,,七飯町役場
三原市,34.39747,133.078525,municipality,,三原市役所
三原村,32.90609,132.84725,municipality,,三原村役場
三好市,34.026411,133.807054,municipality,,三好市役所
三宅村,34.075779,139.479747,municipality,,三宅村役場
三宅町,34.573678,135.773177,municipality,,三宅町役場
三島市,35.118483,138.918501,municipality,,三島市役所
三島村,31.594533,130.560735,municipality,,三島村役場
三島町,37.470292,139.644441,municipality,,三島町役場
三川町,38.794529,139.849612,municipality,,三川町役場
三戸町,40.378423,141.25874,municipality,,三戸町役場
三春町,37.4405,140.493389,municipality,,三春町役場
三朝町,35.408461,133.861742,municipality,,三朝町役場
三木市,34.796922,134.990188,municipality,,三木市役所
三木町,34.268355,134.134363,municipality,,三木町役場
三条市,37.636768,138.9617,municipality,,三条市役所
三次市,34.805627,132.85179,municipality,,三次市役所
三沢市,40.683078,141.369093,municipality,,三沢市役所
三浦市,35.144176,139.620765,municipality,,三浦市役所
三田市,34.889672,135.22529,municipality,,三田市役所
三種町,40.101615,140.004981,municipality,,三種町役場
三笠市,43.245622,141.875342,municipality,,三笠市役所
三股町,31.730686,131.12492,municipality,,三股町役場
三芳町,35.828347,139.526514,municipality,,三芳町役場
三豊市,34.182556,133.715203,municipality,,三豊市役所
三郷市,35.830132,139.872247,municipality,,三郷市役所
三郷町,34.599977,135.695425,municipality,,三郷町役場
三重明和町,34.547528,136.623251,ward,三重,明和町役場（三重）
三重朝日町,35.034221,136.664366,ward,三重,朝日町役場（三重）
三重県,34.730278,136.508611,prefecture,,三重県庁
三鷹市,35.683308,139.559883,municipality,,三鷹市役所
上ノ国町,41.801042,140.121398,municipality,,上ノ国町役場
上三川町,36.439268,139.910214,municipality,,上三川町役場
上京区,35.029553,135.756718,municipality,,上京区役所
上勝町,33.888841,134.401819,municipality,,上勝町役場
上北山村,34.134321,136.000149,municipality,,上北山村役場
上士幌町,43.232615,143.296243,municipality,,上士幌町役場
上天草市,32.587422,130.430405,municipality,,上天草市役所
上富田町,33.696352,135.428802,municipality,,上富田町役場
上富良野町,43.455614,142.467112,municipality,,上富良野町役場
上小阿仁村,40.063263,140.295736,municipality,,上小阿仁村役場
上尾市,35.977408,139.593203,municipality,,上尾市役所
上山市,38.149562,140.26783,municipality,,上山市役所
上峰町,33.319626,130.426137,municipality,,上峰町役場
上島町,34.257467,133.204492,municipality,,上島町役場
上川町,43.847128,142.770459,municipality,,上川町役場
上市町,36.698429,137.362586,municipality,,上市町役場
上松町,35.782187,137.693235,municipality,,上松町役場
上板町,34.121365,134.404999,municipality,,上板町役場
上毛町,33.578425,131.164207,municipality,,上毛町役場
上牧町,34.562723,135.716674,municipality,,上牧町役場
上田市,36.401978,138.248676,municipality,,上田市役所
