citycode,prefcode,city_name,city_kana
1101,1,札幌市中央区,
1102,1,札幌市北区,
1103,1,札幌市東区,
1104,1,札幌市白石区,
1105,1,札幌市豊平区,
1106,1,札幌市南区,
1107,1,札幌市西区,
1108,1,札幌市厚別区,
1109,1,札幌市手稲区,
1110,1,札幌市清田区,
1202,1,函館市,
1203,1,小樽市,
1204,1,旭川市,
1205,1,室蘭市,
1206,1,釧路市,
1207,1,帯広市,
1208,1,北見市,
1209,1,夕張市,
1210,1,岩見沢市,
1211,1,網走市,
1212,1,留萌市,
1213,1,苫小牧市,
1214,1,稚内市,
1215,1,美唄市,
1216,1,芦別市,
1217,1,江別市,
1218,1,赤平市,
1219,1,紋別市,
1220,1,士別市,
1221,1,名寄市,
1222,1,三笠市,
1223,1,根室市,
1224,1,千歳市,
1225,1,滝川市,
1226,1,砂川市,
1227,1,歌志内市,
1228,1,深川市,
1229,1,富良野市,
1230,1,登別市,
1231,1,恵庭市,
1233,1,伊達市,
1234,1,北広島市,
1235,1,石狩市,
1236,1,北斗市,
1303,1,石狩郡当別町,
1304,1,石狩郡新篠津村,
1331,1,松前郡松前町,
1332,1,松前郡福島町,
1333,1,上磯郡知内町,
1334,1,上磯郡木古内町,
1337,1,亀田郡七飯町,
1343,1,茅部郡鹿部町,
1345,1,茅部郡森町,
1346,1,二海郡八雲町,
1347,1,山越郡長万部町,
1361,1,檜山郡江差町,
1362,1,檜山郡上ノ国町,
1363,1,檜山郡厚沢部町,
1364,1,爾志郡乙部町,
1367,1,奥尻郡奥尻町,
1370,1,瀬棚郡今金町,
1371,1,久遠郡せたな町,
1391,1,島牧郡島牧村,
1392,1,寿都郡寿都町,
1393,1,寿都郡黒松内町,
1394,1,磯谷郡蘭越町,
1395,1,虻田郡ニセコ町,
1396,1,虻田郡真狩村,
1397,1,虻田郡留寿都村,
1398,1,虻田郡喜茂別町,
1399,1,虻田郡京極町,
1400,1,虻田郡倶知安町,
1401,1,岩内郡共和町,
1402,1,岩内郡岩内町,
1403,1,古宇郡泊村,
1404,1,古宇郡神恵内村,
1405,1,積丹郡積丹町,
1406,1,古平郡古平町,
1407,1,余市郡仁木町,
1408,1,余市郡余市町,
1409,1,余市郡赤井川村,
1423,1,空知郡南幌町,
1424,1,空知郡奈井江町,
1425,1,空知郡上砂川町,
1427,1,夕張郡由仁町,
1428,1,夕張郡長沼町,
1429,1,夕張郡栗山町,
1430,1,樺戸郡月形町,
1431,1,樺戸郡浦臼町,
1432,1,樺戸郡新十津川町,
1433,1,雨竜郡妹背牛町,
1434,1,雨竜郡秩父別町,
1436,1,雨竜郡雨竜町,
1437,1,雨竜郡北竜町,
1438,1,雨竜郡沼田町,
1452,1,上川郡鷹栖町,
1453,1,上川郡東神楽町,
1454,1,上川郡当麻町,
1455,1,上川郡比布町,
1456,1,上川郡愛別町,
1457,1,上川郡上川町,
